name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Light Machine Gun,lightmg,0,,100,900,,25,,1,50,3,,,,KINETIC,3,,0,0.4,5,0.1,0,1.666666667,0.333333333,5,,1800,,,10,,,PD,"pd6, kinetic3, SR, base_bp",,,,Point Defense,,,,,,,,,,0.5
Light Dual Machine Gun,lightdualmg,2,,400,900,,25,,1,50,5,,,,KINETIC,3,,0,0.2,5,0.1,0,1.666666667,0.333333333,5,,1800,,,10,,,PD,"pd7, kinetic4, SR, lowtech_bp, merc",,,,Point Defense,,,,,,,,,,0.7
Light Mortar,lightmortar,0,,75,1200,,75,,4,30,2,,,,HIGH_EXPLOSIVE,50,,0,1,1,,0,7.5,1.5,5,,1000,,,10,,,,"he6, base_bp",,,,Anti Armor,,,,,,,,,,0.75
#Light Mortar (High Delay),lightmortar_fighter,0,,75,800,,75,,4,30,2,,,,HIGH_EXPLOSIVE,50,,0,2,1,,0,7.5,1.5,5,,1000,,,10,,,SYSTEM,he6,,,,Anti Armor,,,,,,,,,,0.8
Vulcan Cannon,vulcan,1,,200,750,,25,,1,75,4,,,,FRAGMENTATION,1,,0,0.05,1,,0,5,0.333333333,5,,2400,,,10,,,PD,"pd7, SR, lowtech_bp, merc",,,,Point Defense,,,,,,,,,,1
Light Autocannon,lightac,0,,125,1200,,50,,3,20,4,,,,KINETIC,50,,0,0.5,1,,0,4,1,7.5,,1600,,,20,,,,"kinetic6, base_bp",,,,Anti Shield,,,,,,,,,,2
Light Dual Autocannon,lightdualac,1,,300,1200,,50,,3,20,5,,,,KINETIC,50,,0,0.6,2,0.1,0,10,1.5,4.5,,1600,,,20,,,,"kinetic7, lowtech_bp, midline_bp, merc",,,,Anti Shield,,,,,,,,,,2.5
Light Assault Gun,lightag,1,,300,1200,,40,,3,40,5,,,,HIGH_EXPLOSIVE,40,,0,0.25,1,,0,2.5,0.5,2.5,,1600,,,30,,,,"he6, lowtech_bp, midline_bp, merc",,,,Anti Armor,,,,,,,,,,3
Stinger-class Proximity Mine,fragbomb,0,,100,1000,,500,,10,0,1,2,0.1,,FRAGMENTATION,0,,0,1,1,,0,0,0,0,,200,40,14,75,,,"DO_NOT_AIM, ANTI_FTR, PD_ONLY, SYSTEM",he0,,,,Anti Fighter,,,,,,,,,TRUE,3.2
Cluster Bomb Bay,clusterbomb,2,,350,3000,,300,,30,15,5,30,,,HIGH_EXPLOSIVE,0,,0,2,5,0.1,0,0,0,0,,80,40,120,37.5,,,"STRIKE,SYSTEM",he0,,,,Strike,,,,,,,,,TRUE,3.4
Standard Bomb Bay,bomb,1,,200,4000,,400,,50,15,4,10,,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,0,,680,40,50,75,,,"STRIKE, BOMB","he0, no_drop, no_drop_salvage",,,,Strike,,,,,,,,,TRUE,3.5
Light Needler,lightneedler,3,0.3,800,1400,,50,,1,20,8,,,,KINETIC,40,,0,4.3,15,0.05,0,5,0.33,2.5,,2400,,,10,,,,"kinetic9, LR, remnant, rare_bp, hist1t, merc",,,,Anti Shield,,,,,,,,,,3.65
Railgun,railgun,2,0.5,600,1400,,100,,10,30,8,,,,KINETIC,90,,0.6,0,1,,,,,,,2000,,,50,,,,"kinetic8, LR, remnant, rare_bp, hist1t, merc",,,,Anti Shield,,,,,,,,,,3.75
Thumper,shredder,0,,700,1400,,100,,1,25,6,,,,FRAGMENTATION,30,,0,3,20,0.05,0,3.5,0.5,10,,1600,,,30,,,,"kinetic8, base_bp",,,,General,,,,,,,,,,3.8
Heavy Machine Gun,heavymg,2,,1200,1350,,40,,3,40,10,,,,KINETIC,15,,0,0.2,4,0.1,0,1.666666667,0.333333333,5,,2100,,,30,,,PD,"kinetic11, pd10, SR, midline_bp, merc",,,,Point Defense,,,,,,,,,,3.85
Heavy Mortar,heavymortar,0,,600,1400,,110,,12,30,7,,,,HIGH_EXPLOSIVE,90,,0,0.7,2,0.3,0,10,2.5,2.5,,1000,,,30,,,,"he11, base_bp, merc",,,,Anti Armor,,,,,,,,,,3.9
Flak Cannon,flak,1,,1000,1500,,200,,10,40,8,,,,FRAGMENTATION,50,,0,1,1,,0,3.333333333,0.666666667,3.333333333,,2100,,,30,,,PD,"pd13, SR, lowtech_bp, merc",,,,Point Defense (Area),,,,,,,,,,4
Arbalest Autocannon,arbalest,0,,800,1400,,150,,10,12,8,,,,KINETIC,120,,0,1,1,,0,7.5,2.5,5,,1600,,,30,,,,"kinetic12, base_bp",,,,Anti Shield,,,,,,,,,,4.125
